delta,seed,dataset,model,error,accuracy_cert_pois_robust,gurobi_node_count
0.24,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.25,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.26,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.28,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.3,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.5,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
1.0,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.0,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.02,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.04,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.05,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.06,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.08,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.1,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.12,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.13,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.132,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.134,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.136,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.138,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14200000000000002,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.144,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.146,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.148,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.15,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.152,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.154,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.156,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.158,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.162,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.164,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16599999999999998,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16799999999999998,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16999999999999998,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.172,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.174,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.176,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.178,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.18,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.2,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.22,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.24,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.25,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.26,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.28,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.3,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.5,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
1.0,5,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.0,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.02,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.04,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.05,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.06,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.08,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.1,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.12,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.13,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.132,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.134,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.136,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.138,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14200000000000002,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
